geography,geographic_area_name,estimate_,margin_of_error_,estimate_citizen_born_in_us,margin_of_error_citizen_born_in_us,estimate_citizen_born_in_puerto_rico_orisland_areas,margin_of_error_citizen_born_in_puerto_rico_orisland_areas,estimate_citizen_born_abroad_of_american_parent_s_,margin_of_error_citizen_born_abroad_of_american_parent_s_,estimate_citizen_by_naturalization,margin_of_error_citizen_by_naturalization,estimate_not_a_citizen,margin_of_error_not_a_citizen,prop_citizen_born_in_us,prop_citizen_born_in_puerto_rico_orisland_areas,prop_citizen_born_abroad_of_american_parent_s_,prop_citizen_by_naturalization,prop_not_a_citizen
0500000US08101,"Pueblo County, Colorado",169866.0,*****,162435.0,2061.0,37.0,66.0,704.0,391.0,2152.0,797.0,4538.0,1899.0,0.9562537529582141,0.00021781875125098608,0.004144443267045789,0.012668809532219515,0.026715175491269588
0500000US08123,"Weld County, Colorado",369745.0,*****,328567.0,4129.0,438.0,352.0,3961.0,1270.0,16438.0,2959.0,20341.0,3819.0,0.8886313540412988,0.0011846001974333662,0.010712788543455625,0.04445766677034172,0.055013590447470555
0500000US09110,"Capitol Planning Region, Connecticut",991508.0,*****,792996.0,8075.0,40990.0,3887.0,10659.0,2522.0,86731.0,5291.0,60132.0,6146.0,0.79978779798045,0.041341068352448995,0.010750291475207462,0.08747382774521234,0.06064701444668122
0500000US09120,"Greater Bridgeport Planning Region, Connecticut",335666.0,*****,250457.0,4751.0,7288.0,1560.0,3653.0,1156.0,35708.0,3196.0,38560.0,4363.0,0.7461494461756627,0.021712059011040737,0.010882841872575716,0.10637955586803549,0.11487609707268535
0500000US09130,"Lower Connecticut River Valley Planning Region, Connecticut",177540.0,*****,157973.0,2639.0,1032.0,671.0,2778.0,934.0,8587.0,1553.0,7170.0,2200.0,0.8897882167398896,0.005812774586008786,0.0156471781007097,0.04836656528106342,0.04038526529232849
0500000US09140,"Naugatuck Valley Planning Region, Connecticut",462220.0,*****,380866.0,6857.0,16121.0,3273.0,4325.0,1900.0,35495.0,4376.0,25413.0,5043.0,0.8239929038120376,0.0348773311410151,0.00935701613950067,0.07679243650209856,0.054980312405348106
0500000US09150,"Northeastern Connecticut Planning Region, Connecticut",97701.0,*****,91809.0,1671.0,42.0,69.0,694.0,377.0,4179.0,1309.0,977.0,855.0,0.9396935548254368,0.00042988301040931,0.007103304981525266,0.04277335953572635,0.009999897646902284
0500000US09160,"Northwest Hills Planning Region, Connecticut",114101.0,*****,100719.0,1962.0,369.0,359.0,923.0,480.0,5488.0,1123.0,6602.0,1949.0,0.882717942875172,0.0032339769151891744,0.008089324370513844,0.04809773796899238,0.0578610178701326
0500000US09170,"South Central Connecticut Planning Region, Connecticut",576718.0,*****,463442.0,8174.0,18596.0,3793.0,5756.0,1777.0,48098.0,5831.0,40826.0,5937.0,0.8035851143886613,0.03224452852173853,0.009980614442413797,0.08339951241334587,0.07079023023384046
0500000US09180,"Southeastern Connecticut Planning Region, Connecticut",282602.0,*****,246545.0,3038.0,6142.0,1474.0,2865.0,1219.0,14855.0,1798.0,12195.0,2481.0,0.872410669422014,0.021733745691821005,0.010137932498708431,0.052565091542168846,0.04315256084528772
0500000US09190,"Western Connecticut Planning Region, Connecticut",637013.0,*****,470135.0,7193.0,3576.0,1394.0,10148.0,1993.0,78088.0,5708.0,75066.0,6450.0,0.7380304640564636,0.005613700191361872,0.01593060110233229,0.12258462543150611,0.11784060921833621
